Keyword,Position,Search Volume,CPC,Competition,URL
second hand laptop,30,1600,0.47,HIGH,/refurbished-laptops-perth/
broken laptop screen,31,590,0.56,LOW,/laptop-screen-replacement/
computer screen repair,32,1000,2.97,LOW,/laptop-screen-replacement/
laptop screen fix near me,33,1000,2.46,LOW,/laptop-screen-replacement/
computer repair,34,22200,3.25,MEDIUM,/
how much does it cost to replace a laptop screen,35,260,3.32,LOW,/laptop-screen-replacement/
computer repairs midland,36,170,2.77,LOW,/computer-repairs-midland/
used laptops,36,2900,0.88,HIGH,/refurbished-laptops-perth/
fix laptop screen,37,1300,2.12,LOW,/laptop-screen-replacement/
laptop screen replacement cost near me,37,590,2.79,LOW,/laptop-screen-replacement/
lenovo laptop screen replacement,37,480,3.13,LOW,/laptop-screen-replacement/
refurbished laptops,38,2900,1.88,HIGH,/refurbished-laptops-perth/
fix computer,40,1600,0,LOW,/
